age,weight,height,exercise,sleep,sugar_intake,smoking,alcohol,married,profession,bmi,health_risk
19,94,181,medium,4.9,medium,no,yes,yes,student,28.7,high
45,86,161,medium,6.9,low,no,no,no,driver,33.2,low
31,102,166,high,10.0,medium,no,no,no,engineer,37.0,low
51,66,196,high,6.7,medium,no,yes,no,engineer,17.2,high
61,109,147,low,7.1,medium,no,no,yes,farmer,50.4,high
32,97,153,low,7.2,medium,no,no,yes,engineer,41.4,high
36,48,150,none,5.9,high,no,yes,yes,artist,21.3,high
41,51,182,low,7.0,low,no,yes,yes,office_worker,15.4,low
46,69,194,high,5.8,high,no,no,no,teacher,18.3,low
34,106,183,low,6.8,medium,no,yes,yes,artist,31.7,high
25,50,165,medium,7.4,low,no,no,no,doctor,18.4,low
47,70,156,low,7.1,medium,no,no,yes,teacher,28.8,high
77,87,145,medium,5.6,high,no,no,yes,office_worker,41.4,high
75,106,185,medium,6.7,low,no,yes,yes,office_worker,31.0,high
74,108,186,none,7.6,high,no,no,yes,artist,31.2,high
75,55,168,medium,6.5,low,no,no,no,teacher,19.5,low
40,57,191,medium,5.9,medium,no,no,no,artist,15.6,low
33,77,191,low,6.9,medium,no,no,no,engineer,21.1,low
46,73,190,high,8.7,low,no,no,yes,office_worker,20.2,low
51,102,154,low,4.5,medium,no,no,yes,doctor,43.0,high
31,80,195,none,7.7,high,yes,no,yes,student,21.0,high
66,46,176,low,8.5,medium,yes,no,no,farmer,14.9,high
22,76,150,none,8.0,medium,yes,yes,no,doctor,33.8,high
63,89,179,high,8.3,low,no,no,yes,artist,27.8,high
78,76,180,medium,7.6,high,no,no,yes,student,23.5,high
40,92,171,none,8.7,high,no,no,yes,student,31.5,high
54,92,162,medium,4.3,medium,no,no,yes,doctor,35.1,high
20,95,199,medium,7.5,medium,no,no,yes,student,24.0,low
43,71,194,low,5.2,low,no,yes,yes,driver,18.9,high
20,50,168,medium,6.8,medium,no,no,no,teacher,17.7,low
34,89,199,none,7.2,medium,no,no,no,doctor,22.5,low
55,87,185,none,5.8,medium,no,no,yes,driver,25.4,high
35,87,174,high,7.5,high,no,no,yes,engineer,28.7,high
22,55,169,medium,7.5,medium,no,no,no,student,19.3,low
20,92,165,high,8.2,medium,yes,no,no,artist,33.8,high
78,52,156,none,7.1,low,yes,yes,yes,driver,21.4,high
61,103,187,none,5.4,low,no,yes,no,doctor,29.5,high
42,70,188,high,8.0,low,no,no,yes,office_worker,19.8,low
64,105,157,low,6.2,medium,no,no,no,engineer,42.6,high
28,100,146,low,6.8,low,no,no,yes,office_worker,46.9,high
29,93,192,medium,6.8,medium,no,no,yes,doctor,25.2,low
38,56,191,high,9.1,high,no,no,yes,doctor,15.4,low
38,85,164,low,9.1,medium,no,no,no,driver,31.6,high
31,69,189,low,7.4,low,no,no,yes,teacher,19.3,low
57,105,173,medium,6.7,medium,no,yes,yes,doctor,35.1,high
75,106,145,medium,7.4,medium,no,yes,no,teacher,50.4,high
70,91,151,high,6.7,medium,no,no,yes,driver,39.9,high
45,95,173,high,7.3,high,no,yes,yes,farmer,31.7,high
79,47,183,high,6.4,high,no,no,no,doctor,14.0,high
62,95,156,medium,6.7,medium,yes,no,yes,farmer,39.0,high
45,57,182,medium,9.3,low,no,no,yes,office_worker,17.2,low
53,72,173,high,10.0,medium,yes,yes,yes,artist,24.1,high
35,84,149,medium,8.3,low,no,yes,no,artist,37.8,high
70,64,195,high,7.3,low,no,yes,no,student,16.8,high
20,107,170,none,7.1,medium,yes,no,yes,engineer,37.0,high
35,106,146,medium,6.7,medium,no,yes,no,teacher,49.7,high
